27,8.33;;;;;;;;;
13,9.33;;;;;;;;;
4,10.5;;;;;;;;;
15,11.3;;;;;;;;;
25,12.3;;;;;;;;;
30,12.67;;;;;;;;;
20,13;;;;;;;;;
5,13.8;;;;;;;;;
10,17.5;;;;;;;;;
;;;;;;;;;
